,Reference,Schisto. Type,Country,Drug,Number,Dosage,Sample Size,Age,Sex (M:F),Year,Inclusion Criteria,Blind/Double Blind,Study Type,Followup/Endpoint,Cure Rate,Egg Reduction Rate,Conclusion,Notes,Reference,URL,x = exclude,,,,,,,,,,,,,,,,
Saathoff 2004,"Saathoff, Elmar, et al. ""Patterns of Schistosoma haematobium infection, impact of praziquantel treatment and re-infection after treatment in a cohort of schoolchildren from rural KwaZulu-Natal/South Africa."" BMC infectious diseases 4.1 (2004): 1.",s. haematobium,South Africa,Praziquantel,Single,40 mg/kg,1109,9.7-12.2 years old,510/599,1999,limited to children who attended grade 3 at the start of the study in order to keep disturbances of the school routine to a minimum and because this grade should represent the infection situation in a primary school relatively well,Yes,Yes,3 weeks,57.90%,95.30%,"Our study shows that according to WHO guidelines [4] the high prevalence and intensity of S. haematobium infection in the area indeed necessitate regular treatment of schoolchildren, that praziquantel treatment is highly efficacious in reducing the proportion of moderate and heavy infections and that one treatment per year after the end of summer is sufficient to keep infection intensities at low levels. Because levels of S. haematobium infection in the study area seem to be among the highest in the country [23] the latter would probably also apply to other parts of South Africa. The slow pace of re-infection might suggest that it could even be sufficient to only treat every two years, but this would need to be verified in a separate study that follows treated children over this period.",,"Saathoff, Elmar, et al. ""Patterns of Schistosoma haematobium infection, impact of praziquantel treatment and re-infection after treatment in a cohort of schoolchildren from rural KwaZulu-Natal/South Africa."" BMC infectious diseases 4.1 (2004): 1.",,,,,,,,,,,,,,,,,,
"Senghor B, 2015","Senghor, B., Diaw, O. T., Doucoure, S., Sylla, S. N., Seye, M., Talla, I., … Sokhna, C. (2015). Efficacy of praziquantel against urinary schistosomiasis and reinfection in Senegalese school children where there is a single well-defined transmission period. Parasites & Vectors, 8, 362. http://doi.org/10.1186/s13071-015-0980-5",s. haematobium,Senegal,Praziquantel ,Single,40 mg/kg,329,5 to 15,192 : 137,2012,"residence in the studied villages during the rainy season, an age of between 5 and 15 years and consent to participate in the study",No,No,follow up 5 weeks;2-3 months ,93.7%,87.8%,A single dose of 40 mg/kg of PZQ has a significant impact on the prevalence and the intensity of infection,,"Senghor, B., Diaw, O. T., Doucoure, S., Sylla, S. N., Seye, M., Talla, I., … Sokhna, C. (2015). Efficacy of praziquantel against urinary schistosomiasis and reinfection in Senegalese school children where there is a single well-defined transmission period. Parasites & Vectors, 8, 362. http://doi.org/10.1186/s13071-015-0980-5",,,,,,,,,,,,,,,,,,
"Shafei AZ, 1979",Shafei AZ. A preliminary report on the treatment of intestinal schistosomiasis with oxamniquine. Journal of Tropical Medicine and Hygiene 1979;82(1):18–20.,s. mansoni,Nigeria,Oxamniquine ,Two,15 mg/kg,20,18 - 47,26 : 19,1979,individuals with S. mansoni infection detected in stool by the McMaster technique,No,No,follow up: 2 months,95%,100%,Oxaminiquine proved to be an effective drug for the treatment of s.mansoni in adults ,,Shafei AZ. A preliminary report on the treatment of intestinal schistosomiasis with oxamniquine. Journal of Tropical Medicine and Hygiene 1979;82(1):18–20.,,,,,,,,,,,,,,,,,,
"Shafei AZ, 1979",Shafei AZ. A preliminary report on the treatment of intestinal schistosomiasis with oxamniquine. Journal of Tropical Medicine and Hygiene 1979;82(1):18–20.,s. mansoni,Nigeria,Oxamniquine,Single,15 mg/kg,16,18 - 47,26 : 19,1979,individuals with S. mansoni infection detected in stool by the McMaster technique,No,No,follow up: 2 months,87.50%,93.70%,Oxaminiquine proved to be an effective drug for the treatment of s.mansoni in adults ,,Shafei AZ. A preliminary report on the treatment of intestinal schistosomiasis with oxamniquine. Journal of Tropical Medicine and Hygiene 1979;82(1):18–20.,,,,,,,,,,,,,,,,,,
Silva 1986,"da Silva LC, Zeitune JM, Rosa-Eid LM, Lima DM, Antonelli RH, Christo CH, Saez-Alquezar A, Carboni Ade C. Treatment of patients with schistosomiasis mansoni: a double blind clinical trial comparing praziquantel with oxamniquine. Rev Inst Med Trop Sao Paulo. 1986 May-Jun;28(3):174-80.",s. mansoni,Brazil,Praziquantel,Single,55 mg/kg,60,older than 14 years,(30):(30),1986,patients with chronic intestinal or hepato-intestinal forms of schistosomiasis were included in the trial.,Yes,Yes,6 months after,79.2%,93.5%,"Parasitological negativation occurred in 38 out of 48 patients (795%) under praziquantel administration and in 39 out of 46 (84.8% > under oxamniquine. Other investigators also have reported no significant difference between the efficacy of both drugs 3-13AZI. However, some •of them referred a lower3 whereas others a higher1 3 cure-rate. For children, higher doses of praziquantel, 70 mg/kg, as well as of oxamniquine, 20 mg/kg, are necessary for achieving a cure-rate of about 70% 1 2 A",,"da Silva LC, Zeitune JM, Rosa-Eid LM, Lima DM, Antonelli RH, Christo CH, Saez-Alquezar A, Carboni Ade C. Treatment of patients with schistosomiasis mansoni: a double blind clinical trial comparing praziquantel with oxamniquine. Rev Inst Med Trop Sao Paulo. 1986 May-Jun;28(3):174-80.",,,,,,,,,,,,,,,,,,
Silva 1986,"da Silva LC, Zeitune JM, Rosa-Eid LM, Lima DM, Antonelli RH, Christo CH, Saez-Alquezar A, Carboni Ade C. Treatment of patients with schistosomiasis mansoni: a double blind clinical trial comparing praziquantel with oxamniquine. Rev Inst Med Trop Sao Paulo. 1986 May-Jun;28(3):174-80.",s. mansoni,Brazil,Oxamniquine,Single,15 mg/kg ,59,older than 14 years,(27):(33),1986,patients with chronic intestinal or hepato-intestinal forms of schistosomiasis were included in the trial.,Yes,Yes,6 months after,84.80%,84.10%,"Parasitological negativation occurred in 38 out of 48 patients (795%) under praziquantel administration and in 39 out of 46 (84.8% > under oxamniquine. Other investigators also have reported no significant difference between the efficacy of both drugs 3-13AZI. However, some •of them referred a lower3 whereas others a higher1 3 cure-rate. For children, higher doses of praziquantel, 70 mg/kg, as well as of oxamniquine, 20 mg/kg, are necessary for achieving a cure-rate of about 70% 1 2 A",,"da Silva LC, Zeitune JM, Rosa-Eid LM, Lima DM, Antonelli RH, Christo CH, Saez-Alquezar A, Carboni Ade C. Treatment of patients with schistosomiasis mansoni: a double blind clinical trial comparing praziquantel with oxamniquine. Rev Inst Med Trop Sao Paulo. 1986 May-Jun;28(3):174-80.",,,,,,,,,,,,,,,,,,
"Sousa-Figueiredo JC, 2010","Sousa-Figueiredo, José Carlos, Joyce Pleasant, Matthew Day, Martha Betson, David Rollinson, Antonio Montresor, Francis Kazibwe, Narcis B. Kabatereine, and J. Russell Stothard. ""Treatment of Intestinal Schistosomiasis in Ugandan Preschool Children: Best Diagnosis, Treatment Efficacy and Side-effects, and an Extended Praziquantel Dosing Pole."" International Health 2.2 (2010): 103-13. Web. 4 Mar. 2015.",s. mansoni,Uganda,Praziquantel ,Single,40 mg/kg,363,<5 years old,11:64,2010,preschool-children (</=5 years old) children diagnosis of intestinal schistosomiasis of S. mansoni,No,No,"21-day follow-up, where the parasitological cure rate was found",100%,,"To conclude, preschool children in lakeshore communities of Uganda are at significant risk of intestinal schistosomiasis; we now strongly advocate for their immediate inclusion within the national control programme to eliminate this health inequity.","Treatment of intestinal schistosomiasis in Ugandan preschool children: best diagnosis, treatment efficacy and side-effects, and an extended praziquantel dosing pole","Sousa-Figueiredo, José Carlos, Joyce Pleasant, Matthew Day, Martha Betson, David Rollinson, Antonio Montresor, Francis Kazibwe, Narcis B. Kabatereine, and J. Russell Stothard. ""Treatment of Intestinal Schistosomiasis in Ugandan Preschool Children: Best Diagnosis, Treatment Efficacy and Side-effects, and an Extended Praziquantel Dosing Pole."" International Health 2.2 (2010): 103-13. Web. 4 Mar. 2015.",,,,,,,,,,,,,,,,,,
"Sousa-Figueiredoa JC, 2010","Sousa-Figueiredo, José Carlos, Joyce Pleasant, Matthew Day, Martha Betson, David Rollinson, Antonio Montresor, Francis Kazibwe, Narcis B. Kabatereine, and J. Russell Stothard. ""Treatment of Intestinal Schistosomiasis in Ugandan Preschool Children: Best Diagnosis, Treatment Efficacy and Side-effects, and an Extended Praziquantel Dosing Pole."" International Health 2.2 (2010): 103-13. Web. 4 Mar. 2015.",s. mansoni,Uganda ,Praziquantel,Single,30-60 mg/kg,363,>5 Years old,11:64,2010,inclusion of preschool children in the Ugandan national schistosomiasis control programme ,No,No,21 days,100%,44.30%,"To conclude, preschool children in lakeshore communities of Uganda are at significant risk of intestinal schistosomiasis; we now strongly advocate for their immediate inclusion within the national control programme to eliminate this health inequity.","Treatment of intestinal schistosomiasis in Ugandan preschool children: best diagnosis, treatment efficacy and side-effects, and an extended praziquantel dosing pole","Sousa-Figueiredo, José Carlos, Joyce Pleasant, Matthew Day, Martha Betson, David Rollinson, Antonio Montresor, Francis Kazibwe, Narcis B. Kabatereine, and J. Russell Stothard. ""Treatment of Intestinal Schistosomiasis in Ugandan Preschool Children: Best Diagnosis, Treatment Efficacy and Side-effects, and an Extended Praziquantel Dosing Pole."" International Health 2.2 (2010): 103-13. Web. 4 Mar. 2015.",,,,,,,,,,,,,,,,,,
"Stelma FF, 1997","Stelma FF, Sall S, Daff B, Sow S, Niang M, Gryseels B. Oxamniquine cures Schistosoma mansoni infection in a focus in which cure rates with praziquantel are unusually low. Journal of Infectious Diseases 1997;176(1):304–7.",s. mansoni,Senegal,Praziquantel,Single,40 mg/kg,66,5 - 75,22 : 44,1997,patients aged > 5 years with S. mansoni infection,No,Yes,Follow-up: 1.5 month. Parasitologic cure rates at 6 weeks,36%,82%,"In conclusion, we have demonstrated that parasitologic cure diminished susceptibility to praziquantel in a Senegal isolate of Schisto rates after treatment with 20 mg/kg oxamniquine were signifi cantly better than after 40 mg/kg praziquantel.",Oxamniquine Cures Schistosoma mansoni Infection in a Focus in Which Cure Rates with Praziquantel Are Unusually Low,"Stelma FF, Sall S, Daff B, Sow S, Niang M, Gryseels B. Oxamniquine cures Schistosoma mansoni infection in a focus in which cure rates with praziquantel are unusually low. Journal of Infectious Diseases 1997;176(1):304–7.",,,,,,,,,,,,,,,,,,
"Stelma FF, 1997","Stelma FF, Sall S, Daff B, Sow S, Niang M, Gryseels B. Oxamniquine cures Schistosoma mansoni infection in a focus in which cure rates with praziquantel are unusually low. Journal of Infectious Diseases 1997;176(1):304–7.",s. mansoni,Senegal,Oxamniquine,Single,20 mg/kg,72,5 -71,30 : 42,1997,patients aged > 5 years with S. mansoni infection,No,Yes,Follow-up: 1.5 month. Parasitologic cure rates at 6 weeks,79%,94%,"In conclusion, we have demonstrated that parasitologic cure diminished susceptibility to praziquantel in a Senegal isolate of Schisto rates after treatment with 20 mg/kg oxamniquine were signifi cantly better than after 40 mg/kg praziquantel.",Oxamniquine Cures Schistosoma mansoni Infection in a Focus in Which Cure Rates with Praziquantel Are Unusually Low,"Stelma FF, Sall S, Daff B, Sow S, Niang M, Gryseels B. Oxamniquine cures Schistosoma mansoni infection in a focus in which cure rates with praziquantel are unusually low. Journal of Infectious Diseases 1997;176(1):304–7.",,,,,,,,,,,,,,,,,,
"Taddese K, 1988","Taddese K, Zein ZA. Comparison between the efficacy of oxamniquine and praziquantel in the treatment of Schistosoma mansoni infections on a sugar estate in Ethiopia. Annals of Tropical Medicine and Parasitology 1988;82(2): 175–80.",s. mansoni,Ethiopia,Praziquantel,Single,40 mg/kg,50,17 - 52,165 : 35,1988,dolescents and adults aged 17 to 52 years infected with S. mansoni and excreting at least 50 EPG (geometric mean),No,Yes,"follow-up: three months “cure” for patients whose status changed from egg-positive to egg-negative,",93%,,"This study suggests that where single dose therapy isindicated, as in mass chemotherapy in the control of endemic schistosomiasis, praziquantel may be the drug of choice.",Comparison between the efficacy of oxamniquine and praziquantel in the treatment of Schistosoma mansoni infections on a sugar estate in Ethiopia,"Taddese K, Zein ZA. Comparison between the efficacy of oxamniquine and praziquantel in the treatment of Schistosoma mansoni infections on a sugar estate in Ethiopia. Annals of Tropical Medicine and Parasitology 1988;82(2): 175–80.",,,,,,,,,,,,,,,,,,
"Taddese K, 1988","Taddese K, Zein ZA. Comparison between the efficacy of oxamniquine and praziquantel in the treatment of Schistosoma mansoni infections on a sugar estate in Ethiopia. Annals of Tropical Medicine and Parasitology 1988;82(2): 175–80.",s. mansoni,Ethiopia,Praziquantel,Two,20 mg/kg,50,17 - 52,165 : 35,1988,dolescents and adults aged 17 to 52 years infected with S. mansoni and excreting at least 50 EPG (geometric mean),No,Yes,"follow-up: three months “cure” for patients whose status changed from egg-positive to egg-negative,",95%,,"This study suggests that where single dose therapy isindicated, as in mass chemotherapy in the control of endemic schistosomiasis, praziquantel may be the drug of choice.",Comparison between the efficacy of oxamniquine and praziquantel in the treatment of Schistosoma mansoni infections on a sugar estate in Ethiopia,"Taddese K, Zein ZA. Comparison between the efficacy of oxamniquine and praziquantel in the treatment of Schistosoma mansoni infections on a sugar estate in Ethiopia. Annals of Tropical Medicine and Parasitology 1988;82(2): 175–80.",,,,,,,,,,,,,,,,,,
"Taddese K, 1988","Taddese K, Zein ZA. Comparison between the efficacy of oxamniquine and praziquantel in the treatment of Schistosoma mansoni infections on a sugar estate in Ethiopia. Annals of Tropical Medicine and Parasitology 1988;82(2): 175–80.",s. mansoni,Ethiopia,Oxamniquine,Single,15 mg/kg,50,17 - 52,165 : 35,1988,dolescents and adults aged 17 to 52 years infected with S. mansoni and excreting at least 50 EPG (geometric mean),No,Yes,"follow-up: three months “cure” for patients whose status changed from egg-positive to egg-negative,",79%,,"This study suggests that where single dose therapy isindicated, as in mass chemotherapy in the control of endemic schistosomiasis, praziquantel may be the drug of choice.",,"Taddese K, Zein ZA. Comparison between the efficacy of oxamniquine and praziquantel in the treatment of Schistosoma mansoni infections on a sugar estate in Ethiopia. Annals of Tropical Medicine and Parasitology 1988;82(2): 175–80.",,,,,,,,,,,,,,,,,,
"Taddese K, 1988","Taddese K, Zein ZA. Comparison between the efficacy of oxamniquine and praziquantel in the treatment of Schistosoma mansoni infections on a sugar estate in Ethiopia. Annals of Tropical Medicine and Parasitology 1988;82(2): 175–80.",s. mansoni,Ethiopia,Oxamniquine,Two,15 mg/kg,50,17 - 52,165 : 35,1988,dolescents and adults aged 17 to 52 years infected with S. mansoni and excreting at least 50 EPG (geometric mean),No,Yes,"follow-up: three months “cure” for patients whose status changed from egg-positive to egg-negative,",96%,,"This study suggests that where single dose therapy isindicated, as in mass chemotherapy in the control of endemic schistosomiasis, praziquantel may be the drug of choice.",,"Taddese K, Zein ZA. Comparison between the efficacy of oxamniquine and praziquantel in the treatment of Schistosoma mansoni infections on a sugar estate in Ethiopia. Annals of Tropical Medicine and Parasitology 1988;82(2): 175–80.",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Tweyongyere R, 2009",,s. mansoni,Uganda,Placebo,,,186,pregnant women,female ,2009,pregnant women found to have S. mansoni infected detected during a population survey,Yes,Yes,follow-up: six weeks,88.50%,,"This study, the first to examine the impact of praziquantel treatment during pregnancy, has shown that S mansoni antigen-specific antibody levels and praziquantel-induced boosts in the antibody levels are broadly low during pregnancy, but that this is not associated with any major reduction in the efficacy of praziquantel in the treatment of light to moderate intensity S. mansoni infections: a result that is reassuring from a public health perspective. Effects of pregnancy on the response to praziquantel among populations with higher S. mansoni infection intensities, and among women with S. haematobium or S. japonicum, and the long-term implications of these findings, particularly in relation to resistance to re-infection, remain to be explored.","Effect of praziquantel treatment of Schistosoma mansoni during pregnancy on intensity of infection and antibody responses to schistosome antigens: results of a randomised, placebo-controlled trial",,,,,,,,,,,,,,,,,,,
"Tweyongyere R, 2011","Tweyongyere, Robert, et al. ""Effect of praziquantel treatment of Schistosoma mansoni during pregnancy on intensity of infection and antibody responses to schistosome antigens: results of a randomised, placebo-controlled trial.""BMC infectious diseases 9.1 (2009): 32.",s. mansoni,Uganda,Praziquantel,Single,40 mg/kg,201,pregnant women,female ,2011,"Offspring of women with Schistosoma mansoni were examined for cytokine and antibody responses to schistosome worm (SWA) and egg (SEA) antigen, in cord blood and at age one year. Relationships to maternal responses and pre-treatment infection intensities were examined, and responses were compared between the offspring of women who did, or did not receive praziquantel treatment during pregnancy.",Yes,Yes,follow-up: six weeks,81.9%,,"This study, the first to examine the impact of praziquantel treatment during pregnancy, has shown that S mansoni antigen-specific antibody levels and praziquantel-induced boosts in the antibody levels are broadly low during pregnancy, but that this is not associated with any major reduction in the efficacy of praziquantel in the treatment of light to moderate intensity S. mansoni infections: a result that is reassuring from a public health perspective. Effects of pregnancy on the response to praziquantel among populations with higher S. mansoni infection intensities, and among women with S. haematobium or S. japonicum, and the long-term implications of these findings, particularly in relation to resistance to re-infection, remain to be explored.","Effect of praziquantel treatment of Schistosoma mansoni during pregnancy on intensity of infection and antibody responses to schistosome antigens: results of a randomised, placebo-controlled trial","Tweyongyere, Robert, et al. ""Effect of praziquantel treatment of Schistosoma mansoni during pregnancy on intensity of infection and antibody responses to schistosome antigens: results of a randomised, placebo-controlled trial.""BMC infectious diseases 9.1 (2009): 32.",,,,,,,,,,,,,,,,,,
"Vector J, 2010","Kurup, Rajini, and Gurdip S. Hunjan. ""Epidemiology and control of Schistosomiasis and other intestinal parasitic infections among school children in three rural villages of south Saint Lucia."" Journal of vector borne diseases 47.4 (2010): 228.",s. mansoni,Saint Lucia,Praziquantel,Single,40 mg/kg,4,0-19 ,1:1,2006,Epidemiology and control of Schistosomiasis and other intestinal parasitic infections among school children in three rural villages of south Saint Lucia,No,No,6 months ,100%,100%,"This current study showed successful effort to control intestinal parasitic infection, focusing the school age population",The purpose of this study was to determine the epidemiology of parasitic infections and the efficacy of treatment among school children in rural villages of south Saint Lucia.,"Kurup, Rajini, and Gurdip S. Hunjan. ""Epidemiology and control of Schistosomiasis and other intestinal parasitic infections among school children in three rural villages of south Saint Lucia."" Journal of vector borne diseases 47.4 (2010): 228.",,,,,,,,,,,,,,,,,,
"Webster BL, 2012","Webster, Bonnie L., Oumar T. Diaw, Mohmoudane M. Seye, Djibril S. Faye, J. Russell Stothard, Jose C. Sousa-Figueiredo, and David Rollinson. ""Praziquantel Treatment of School Children from Single and Mixed Infection Foci of Intestinal and Urogenital Schistosomiasis along the Senegal River Basin: Monitoring Treatment Success and Re-infection Patterns."" Acta Tropica 128, no. 2, 292-302.",s. mansoni,Senegal,Praziquantel ,Two,40 mg/kg,107,3 - 15,1:1.4,2007,Children were either single infected or co-infected with S.mansoni (9 years old),No,No,Efficacy was accessed at 6 weeks and followed up at 6 months and 12 months with urine and stool sample examined for eggs. Drug efficacy was measured by assessing cure rate (percent of children positive for egg-patent infection becoming negative after treatment,81%,98.40%,"The data show that high and rapid re-infection rates occur, especially for S. mansoni, within a six-month period following treatment.",Praziquantel treatment of school children from single and mixed infection foci of intestinal and urogenital schistosomiasis along the Senegal River Basin: monitoring treatment success and re-infection patterns.,"Webster, Bonnie L., Oumar T. Diaw, Mohmoudane M. Seye, Djibril S. Faye, J. Russell Stothard, Jose C. Sousa-Figueiredo, and David Rollinson. ""Praziquantel Treatment of School Children from Single and Mixed Infection Foci of Intestinal and Urogenital Schistosomiasis along the Senegal River Basin: Monitoring Treatment Success and Re-infection Patterns."" Acta Tropica 128, no. 2, 292-302.",,,,,,,,,,,,,,,,,,
"Webster BL, 2012","Webster, Bonnie L., Oumar T. Diaw, Mohmoudane M. Seye, Djibril S. Faye, J. Russell Stothard, Jose C. Sousa-Figueiredo, and David Rollinson. ""Praziquantel Treatment of School Children from Single and Mixed Infection Foci of Intestinal and Urogenital Schistosomiasis along the Senegal River Basin: Monitoring Treatment Success and Re-infection Patterns."" Acta Tropica 128, no. 2, 292-302.",s. mansoni,Senegal ,Praziquantel ,Two,40 mg/kg,89,6 - 14,1:1.34,2007,9 year old children were infected with S.mansoni ,No,No,Efficacy was accessed at 6 weeks and followed up at 6 months and 12 months with urine and stool sample examined for eggs. Drug efficacy was measured by assessing cure rate (percent of children positive for egg-patent infection becoming negative after treatment,95.50%,98.90%,"The data show that high and rapid re-infection rates occur, especially for S. mansoni, within a six-month period following treatment.",Praziquantel treatment of school children from single and mixed infection foci of intestinal and urogenital schistosomiasis along the Senegal River Basin: monitoring treatment success and re-infection patterns.,"Webster, Bonnie L., Oumar T. Diaw, Mohmoudane M. Seye, Djibril S. Faye, J. Russell Stothard, Jose C. Sousa-Figueiredo, and David Rollinson. ""Praziquantel Treatment of School Children from Single and Mixed Infection Foci of Intestinal and Urogenital Schistosomiasis along the Senegal River Basin: Monitoring Treatment Success and Re-infection Patterns."" Acta Tropica 128, no. 2, 292-302.",,,,,,,,,,,,,,,,,,
"Zwingenberger K, 1987","Zwingenberger K, Queiroz JA, Poggensee U, Alencar JE, Valdegunas J, Esmeralda F, et al.Efficacy of oxamniquine, praziquantel and a combination of both drugs in schistosomiasis mansoni in Brazil. Revista do Instituto de Medicina Tropical de São Paulo 1987;29(5):305–11.",s. mansoni,Brazil,Praziquantel ,Two,20 mg/kg,24,10 - 62 ,16:8,1987,individuals aged 10 to 62 years with S. mansoni diagnosed in a para- sitological survey,No,Yes,"Follow-up: three, six and 12 months. The achieved cure râtes, âs defined by absence of S. mansoni eggs in the faeces of individual pâtients at alt points during the parasitological follou¡ up",81.80%,,"In conclusion, a single dose administration of oxamniquine 15 mg/kg or praziquantel40 mg/kg or a half-dose combination of both drugs proved to be similarly effective in schistosomiasis mansoni in Brâzil, as anâlogous cure rates and reductions of egg excretion in non-cured cases were achieved.","EFFICACY OF OXAMNIOUINE, PRAZIOUANTEL AND A COMBINATION IN SCHISTOSOMIASIS MANSONI IN BRAZIL","Zwingenberger K, Queiroz JA, Poggensee U, Alencar JE, Valdegunas J, Esmeralda F, et al.Efficacy of oxamniquine, praziquantel and a combination of both drugs in schistosomiasis mansoni in Brazil. Revista do Instituto de Medicina Tropical de São Paulo 1987;29(5):305–11.",,,,,,,,,,,,,,,,,,
"Zwingenberger K, 1987","Zwingenberger K, Queiroz JA, Poggensee U, Alencar JE, Valdegunas J, Esmeralda F, et al.Efficacy of oxamniquine, praziquantel and a combination of both drugs in schistosomiasis mansoni in Brazil. Revista do Instituto de Medicina Tropical de São Paulo 1987;29(5):305–11.",s. mansoni,Brazil,Oxamniquine ,Single,15 mg/kg,32,10 - 62,24:7,1987,individuals aged 10 to 62 years with S. mansoni diagnosed in a para- sitological survey,No,Yes,"Follow-up: three, six and 12 months. The achieved cure râtes, âs defined by absence of S. mansoni eggs in the faeces of individual pâtients at alt points during the parasitological follou¡ up",81.20%,,"In conclusion, a single dose administration of oxamniquine 15 mg/kg or praziquantel40 mg/kg or a half-dose combination of both drugs proved to be similarly effective in schistosomiasis mansoni in Brâzil, as anâlogous cure rates and reductions of egg excretion in non-cured cases were achieved.","EFFICACY OF OXAMNIOUINE, PRAZIOUANTEL AND A COMBINATION IN SCHISTOSOMIASIS MANSONI IN BRAZIL","Zwingenberger K, Queiroz JA, Poggensee U, Alencar JE, Valdegunas J, Esmeralda F, et al.Efficacy of oxamniquine, praziquantel and a combination of both drugs in schistosomiasis mansoni in Brazil. Revista do Instituto de Medicina Tropical de São Paulo 1987;29(5):305–11.",,,,,,,,,,,,,,,,,,
"Zwingenberger K, 1987","Zwingenberger K, Queiroz JA, Poggensee U, Alencar JE, Valdegunas J, Esmeralda F, et al.Efficacy of oxamniquine, praziquantel and a combination of both drugs in schistosomiasis mansoni in Brazil. Revista do Instituto de Medicina Tropical de São Paulo 1987;29(5):305–11.",s. mansoni,Brazil,Oxamniquine & Praziquantel,Single,7.5 mg/kg; 20 mg/kg,35,10 - 62,29:6,1987,individuals aged 10 to 62 years with S. mansoni diagnosed in a para- sitological survey,No,Yes,"Follow-up: three, six and 12 months. The achieved cure râtes, âs defined by absence of S. mansoni eggs in the faeces of individual pâtients at alt points during the parasitological follou¡ up",67.60%,,"In conclusion, a single dose administration of oxamniquine 15 mg/kg or praziquantel40 mg/kg or a half-dose combination of both drugs proved to be similarly effective in schistosomiasis mansoni in Brâzil, as anâlogous cure rates and reductions of egg excretion in non-cured cases were achieved.","EFFICACY OF OXAMNIOUINE, PRAZIOUANTEL AND A COMBINATION IN SCHISTOSOMIASIS MANSONI IN BRAZIL","Zwingenberger K, Queiroz JA, Poggensee U, Alencar JE, Valdegunas J, Esmeralda F, et al.Efficacy of oxamniquine, praziquantel and a combination of both drugs in schistosomiasis mansoni in Brazil. Revista do Instituto de Medicina Tropical de São Paulo 1987;29(5):305–11.",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Utzinger 2000b,"Utzinger, J.; N'Goran, K.E.; Dri, A.N.; Lengeler, C.; Tanner, M. ""Efficacy of praziquantel against Schistosoma mansonia with particular consideration for intensity of infection. 2000. Tropical Medicine and International Health 5(11): 771-778. Web. ",s. mansoni,Côte d'Ivoire,Praziquantel,Two,30 mg/kg,194,School Children,MF,1998,schoolchildren,No,Yes,Follow-up after one treatment,71.60%,79.90%,There was a significant association between cure rate and intensity of infection prior to treatment with highest cure rates observed in light infections (P   0.01),,"Utzinger, J.; N'Goran, K.E.; Dri, A.N.; Lengeler, C.; Tanner, M. ""Efficacy of praziquantel against Schistosoma mansonia with particular consideration for intensity of infection. 2000. Tropical Medicine and International Health 5(11): 771-778. Web. ",,,,,,,,,,,,,,,,,,
Utzinger 2000a,"Utzinger, J.; N'Goran, E.K.; N'Dri, A.; Lengeier, C.; Shuhua,, X.; Tanner, M. ""Oral artemeter for prevention of Schistosoma mansoni infection: randomised controlled trial"". 2000. The Lancet 355: 1320-1325. Web.",s. mansoni,Côte d'Ivoire,Artemether,Six,6 mg/kg,138,School Children,MF,1999,"8 children were excluded: (15 missed the second treatment with praziquantel, and 13 provided fewer than three stool specimens before the first artemether treatment)",Yes,Yes,1 month after first praziquantel treatment ,82.80%,,The study showed that oral artemether is safe and has a clear prophylactic effect against S mansoni. ,,"Utzinger, J.; N'Goran, E.K.; N'Dri, A.; Lengeier, C.; Shuhua,, X.; Tanner, M. ""Oral artemeter for prevention of Schistosoma mansoni infection: randomised controlled trial"". 2000. The Lancet 355: 1320-1325. Web.",,,,,,,,,,,,,,,,,,
Utzinger 2000a,"Utzinger, J.; N'Goran, E.K.; N'Dri, A.; Lengeier, C.; Shuhua,, X.; Tanner, M. ""Oral artemeter for prevention of Schistosoma mansoni infection: randomised controlled trial"". 2000. The Lancet 355: 1320-1325. Web.",s. mansoni,Côte d'Ivoire,Placebo,,,151,School Children,MF,1999,"8 children were excluded: (15 missed the second treatment with praziquantel, and 13 provided fewer than three stool specimens before the first artemether treatment)",Yes,Yes,1 month after first praziquantel treatment ,78.60%,,The study showed that oral artemether is safe and has a clear prophylactic effect against S mansoni. ,,"Utzinger, J.; N'Goran, E.K.; N'Dri, A.; Lengeier, C.; Shuhua,, X.; Tanner, M. ""Oral artemeter for prevention of Schistosoma mansoni infection: randomised controlled trial"". 2000. The Lancet 355: 1320-1325. Web.",,,,,,,,,,,,,,,,,,
De Clercq 2002,"Clercq, D.D.; Vercruysse, J.; Kongs, A.; Verlé, P.; Dompnier, J.P.; Faye, P.C. ""Efficcy of artesunate and praziquantel in Schistosoma haematobium infected schoolchildren"". 2002. Acta Tropica 82: 61-66.",s. haematobium,Senegal,Praziquantel,Single,40 mg/kg,88,School Children,MF,2002,schoolchildren,No,No,5 weeks ,30%,80%,"At present the cornerstone for schistosomiasis control is morbidity reduction through chemotherapy, mainly with praziquantel",,"Clercq, D.D.; Vercruysse, J.; Kongs, A.; Verlé, P.; Dompnier, J.P.; Faye, P.C. ""Efficcy of artesunate and praziquantel in Schistosoma haematobium infected schoolchildren"". 2002. Acta Tropica 82: 61-66.",,,,,,,,,,,,,,,,,,
